AUTHOR,JOURNAL,MONTH,YEAR,POEM TITLE,FILENAME,VOL,NO,NOTES
BEERS_HENRY,LiR,3,1914,The Dying Pantheist to the Priest,lir0060.txt,1,1,Added
E_A,LiR,3,1914,The Dreams of the Children,lir0058.txt,1,1,Added
FICKE_ARTHUR,LiR,3,1914,Kiyonobu Speaks,lir0061.txt,1,1,Added
FICKE_ARTHUR,LiR,3,1914,Figure By Okumura Masanoby,lir0062.txt,1,1,Added
FICKE_ARTHUR,LiR,3,1914,Pillar-Print by Kiyomitsu,lir0063.txt,1,1,Added
FICKE_ARTHUR,LiR,3,1914,Pillar-Print by Toyonobu,lir0064.txt,1,1,Added
FICKE_ARTHUR,LiR,3,1914,Pillar-Print by Harunobu,lir0065.txt,1,1,Added
LINDSAY_NICHOLAS,LiR,3,1914,How a Little Girl Danced,lir0057.txt,1,1,Added
MEYNELL_ALICE,LiR,3,1914,The Garden,lir0066.txt,1,1,Added
SOULE_GEORGE,LiR,3,1914,The Major Symphony,lir0067.txt,1,1,Added
TIETJENS_EUNICE,LiR,3,1914,To a Lost Friend,lir0059.txt,1,1,Added
FICKE_ARTHUR,LiR,4,1914,Lines for Two Futurists,lir0069.txt,1,2,Added
SOULE_GEORGE,LiR,4,1914,Rebellion,lir0068.txt,1,2,Added
TEASDALE_SARA,LiR,4,1914,To E,lir0070.txt,1,2,Added
TIETJENS_EUNICE,LiR,4,1914,To S,lir0071.txt,1,2,Added
ALDIS_MARY,LiR,5,1914,Chloroform,lir0072.txt,1,3,Added
FARLEY_PARKE,LiR,5,1914,Patriots,lir0074.txt,1,3,Added
SOULE_GEORGE,LiR,5,1914,Impression,lir0073.txt,1,3,Added
ANDERSON_MARGARET,LiR,6,1914,A Wonder-Child Violinist,lir0076.txt,1,4,Added
LINDSAY_NICHOLAS,LiR,6,1914,Blanche Sweet - Moving-Picture Artist,lir0077.txt,1,4,Added
LINDSAY_NICHOLAS,LiR,6,1914,"Girl, You Shall Mock No Longer",lir0078.txt,1,4,Added
LINDSAY_NICHOLAS,LiR,6,1914,The Amaranth,lir0079.txt,1,4,Added
LINDSAY_NICHOLAS,LiR,6,1914,An Argument,lir0080.txt,1,4,Added
LINDSAY_NICHOLAS,LiR,6,1914,Darling Daughter of Babylon,lir0081.txt,1,4,Added
LINDSAY_NICHOLAS,LiR,6,1914,I Went Down Into the Desert,lir0082.txt,1,4,Added
LINDSAY_NICHOLAS,LiR,6,1914,Encountered on the Streets of the City,lir0083.txt,1,4,Added
LINDSAY_NICHOLAS,LiR,6,1914,The Stubborn Mouse,lir0084.txt,1,4,Added
LINDSAY_NICHOLAS,LiR,6,1914,The Sword-Pen of the Rhymer,lir0085.txt,1,4,Added
TIETJENS_EUNICE,LiR,6,1914,Gloria Mundi,lir0086.txt,1,4,Added
WILKINSON_MARGUERITE,LiR,6,1914,To William Butler Yeats,lir0075.txt,1,4,Added
WILSON_CHARLOTTE,LiR,6,1914,Keats and Fannie Brawne,lir0087.txt,1,4,Added
ASHLEIGH_CHARLES,LiR,7,1914,Beyond Good and Evil,lir0088.txt,1,5,Added
ASHLEIGH_CHARLES,LiR,7,1914,Love in the Abyss,lir0089.txt,1,5,Added
ASHLEIGH_CHARLES,LiR,7,1914,Jealousy,lir0090.txt,1,5,Added
ASHLEIGH_CHARLES,LiR,7,1914,The Glorious Adventure of Glorious Me,lir0091.txt,1,5,Added
FLINT_F,LiR,7,1914,The Swan,lir0092.txt,1,5,Added
IVERSON_SADE,LiR,7,1914,The Milliner,lir0093.txt,1,5,Added
BODENHEIM_MAXWELL,LiR,9,1914,After Feeling Deux Arabesque by Debussy,lir0095.txt,1,6,Added
BODENHEIM_MAXWELL,LiR,9,1914,Let Me Not Live Too Long,lir0096.txt,1,6,Added
BODENHEIM_MAXWELL,LiR,9,1914,To the Violinist,lir0097.txt,1,6,Added
BODENHEIM_MAXWELL,LiR,9,1914,Gifts,lir0098.txt,1,6,Added
BODENHEIM_MAXWELL,LiR,9,1914,Hell,lir0099.txt,1,6,Added
BODENHEIM_MAXWELL,LiR,9,1914,To a Woman,lir0100.txt,1,6,Added
LOWELL_AMY,LiR,9,1914,"Clear, With Light Variable Winds",lir0102.txt,1,6,Added
LOWELL_AMY,LiR,9,1914,Fool's Moneybags,lir0103.txt,1,6,Added
SOULE_GEORGE,LiR,9,1914,The Restaurant Violin,lir0094.txt,1,6,Added
TIETJENS_EUNICE,LiR,9,1914,Children of War,lir0101.txt,1,6,Added
BYNNER_WITTER,LiR,10,1914,Two Churches on Sunday,lir0105.txt,1,7,Added
BYNNER_WITTER,LiR,10,1914,The Last Words of Tolstoi,lir0106.txt,1,7,Added
BYNNER_WITTER,LiR,10,1914,Apollo Sings,lir0107.txt,1,7,Added
CANNELL_SKIPWITH,LiR,10,1914,The Silver Ship,lir0109.txt,1,7,Added
CANNELL_SKIPWITH,LiR,10,1914,The Butterfly,lir0110.txt,1,7,Added
FICKE_ARTHUR,LiR,10,1914,The Wicked to the Wise,lir0104.txt,1,7,Added
